"","disc1-WT-Avg","disc2-WT-Avg","disc3-WT-Avg","disc4-WT-Avg","disc5-WT-Avg","disc6-WT-Avg","disc7-WT-Avg","disc8-WT-Avg","disc10-WT-Avg","disc11-WT-Avg","disc12-WT-Avg","disc13-WT-Avg","disc15-WT-Avg"
"179",1007.9215,934.381,1178.27,839.473,706.5,846,1365.2855,1174.439,1110.1805,658.5,756.537,669.5,545.704
"180",1102.027,907.684,1315.333,931.602,644.5,987,1659.573,1287.66,1110.8745,660.5,732.5915,733.5,359.442
"181",1052.9845,1142.01,1463.947,927.218,690.5,859.5,1544.2245,1327.626,1150.291,745.5,738.122,736.5,517.066
"182",1094.401,1177.687,1333.571,937.84,679.5,934,1639.25,1238.922,1243.881,703.5,747.6975,703.5,566.7245
"183",1158.631,1054.796,1385.2735,1024.888,749,833.5,1633.456,1359.7825,1024.116,747,879.6735,679.5,606.4235
"184",1262.935,1127.0375,1415.4285,845.255,677.5,978,1728.3725,1461.468,1230.041,802,753.857,642,591.9795
"185",1392.988,1231.7585,1399.4745,973.8095,690,1057.5,1874.8605,1346.905,1166.7875,734,708.51,725.5,685.2705
"186",1338.1085,1248.393,1314.4045,1074.5205,677.5,1004.5,1743.5425,1317.4305,1347.82,820.5,733.9095,693,741.2755
"187",1428.5255,1278.9935,1415.942,978.0765,825.5,1038,1923.352,1286.3915,1153.643,897.5,793.7515,799,630.745
"188",1374.0745,1274.619,1487.1225,917.932,834,970,1887.7805,1305.978,1409.541,1086,942.937,726,689.925
"189",1368.18,1534.745,1581.51,1096.881,750.5,878.5,1958.9985,1313.252,1250.8095,1169.5,885.7005,714.5,664.4185
"190",1350.112,1333.803,1665.762,1007.425,644,946.5,2029.76,1346.5905,1303.541,1124,880.231,797,599.296
"191",1352.7685,1239.211,1517.3465,927.182,691,933.5,1932.075,1379.626,1228.796,1059.5,989.6735,750,761.6225
"192",1418.146,1446.0355,1343.8875,926.8025,800,893,1833.9645,1483.262,1313.8065,1027,935.435,813,627.6225
"193",1322.056,1441.9525,1496.561,979.2585,882.5,960.5,2042.9085,1429.2315,1455.786,1107,1014.0745,840,735.2755
"194",1509.503,1486.483,1497.898,878.2075,683,932.5,2026.8655,1506.939,1387.854,1248,955.2825,835,694.8675
"195",1390.0525,1513.459,1550.0965,1059.658,933.5,935.5,1890.325,1462.252,1383.8235,1098,1027.2615,821.5,792.983
"196",1576.9965,1571.2875,1509.8465,1004.837,802,998,1977.883,1551.767,1442.7145,1060,890.9485,937,749.8265
"197",1462.891,1491.687,1526.071,916.5695,897.5,958,1853.223,1514.323,1440.1075,991.5,861.911,880.5,743.2245
"198",1637.721,1548.745,1562.044,1090.643,838,1016.5,1930.4915,1678.512,1287.082,1073.5,1031.658,828,654.619
"199",1563.049,1488.2245,1619.4795,1247.643,881,1009,2003.061,1616.0715,1373.546,942,974.6565,835.5,878.0715
"200",1563.279,1553.0835,1508.51,1138.024,852.5,1041,1929.5935,1676.3605,1448.898,1034.5,958.017,905.5,835.466
"201",1592.2415,1678.2145,1569.864,1107.024,885.5,1079.5,1969.2145,1643.0785,1362.478,1089,1023.0815,968.5,802.813
"202",1538.0745,1707.136,1707.8195,1232.3605,889.5,1163,1909.883,1685.9135,1501.1735,1075,1113.1155,914,875.8875
"203",1600.988,1583.6735,1777.2395,1384.9985,1015.5,1081,2096.4745,1733.5475,1431.7265,1072,1046.231,905.5,767.2635
"204",1585.2245,1683.0665,1734.619,1439.9625,944,1122.5,2167.91,1716.4965,1428.507,1172.5,988.112,847,746.6665
"205",1709.3045,1637.8605,1793.8605,1401.7875,932.5,1122,2165.801,1649.963,1372.5715,1237.5,1114.085,876,848.1175
"206",1585.146,1715.0985,1796.194,1366.7585,877.5,1013,2165.689,1826.5955,1350.735,1215.5,1193.58,938.5,847.272
"207",1596.1765,1806.5715,1864.896,1366.2655,971,1118,2030.9675,1700.4765,1538.291,1259.5,1112.153,902,876.1205
"208",1778.0645,1920.5545,1943.857,1537.1905,1071.5,1251.5,2349.556,1943.808,1589.745,1458,1356.3895,1103,960.7345
"209",1533.452,1792.347,1726.1685,1302.289,881.5,1059.5,2081.9505,1828.4355,1412.6275,1226,1078.901,882.5,818.9625
"210",1533.755,1694.76,1834.493,1157.34,971.5,983,1997.1585,1862.1195,1292.643,1355,1078.017,879.5,847.626
"211",1486.8945,1674.272,1628.857,1248.408,928,1090,1967.0865,1773.745,1239.1075,1085,1078.9015,873.5,837.3875
